"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
55,11,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Ростов-на-Дону, ул. Пойменная, д. 1",616445001,"от 23.07.2018 №2885",
55,12,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Ростов-на-Дону, ул. Малиновского, д. 25",616845001,"от 23.07.2018 №2885",
55,13,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Самара, Московское шоссе, 24 км, д. 5",631345001,"от 23.07.2018 №2885",
55,14,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Самара, ул. Ново-Садовая, д. 160М",631632001,"от 23.07.2018 №2885",
55,15,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 23.07.2018 №2885",
55,16,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Екатеринбург, ул. Вайнера, д. 9",667145002,"от 23.07.2018 №2885",
56,1,"Общество с ограниченной ответственностью ""Х.Штерн""","ООО ""Х.Штерн""",7724567090,1067746181128,,"г. Красногорск, ул. Международная, д. 8",502432001,"от 13.07.2018 №2753",
56,2,"Общество с ограниченной ответственностью ""Х.Штерн""","ООО ""Х.Штерн""",7724567090,1067746181128,,"г. Москва, Красная пл., д. 3",771045001,"от 13.07.2018 №2753",
57,1,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Казань, пр. Победы, д. 141",166045001,"от 13.07.2018 №2754",
57,2,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",346045001,"от 13.07.2018 №2754",
57,3,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 13.07.2018 №2753",
57,4,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Самара, Московское шоссе, 24 км, д. 5",631345001,"от 13.07.2018 №2754",
57,5,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 13.07.2018 №2754",
57,6,"Общество с ограниченной ответственностью ""РАНДЕВУ""","ООО ""РАНДЕВУ""",7726747130,1147746527444,,"г. Екатеринбург, ул. Вайнера, д. 9",667145002,"от 13.07.2018 №2754",
58,1,"Общество с ограниченной ответственностью ""Да Винчи-Акрополь""","ООО ""Да Винчи-Акрополь""",7730501436,1037789050166,"г. Москва, Смоленская пл., д. 3",,,"от 18.06.2018 №2370",19.06.2018
59,1,"Общество с ограниченной ответственностью ""КЕРУСКА""","ООО ""КЕРУСКА""",7736604685,1097746372019,,"г. Казань, пр. Ямашева, д. 46/33",165745001,"от 13.07.2018 №2753",
59,2,"Общество с ограниченной ответственностью ""КЕРУСКА""","ООО ""КЕРУСКА""",7736604685,1097746372019,,"г. Самара, Московское шоссе, 24 км, д.5",631345001,"от 13.07.2018 №2753",
60,1,"Общество с ограниченной ответственностью ""МОНКЛЕР РУС""","ООО ""Монклер РУС""",7743897707,1137746735609,,"Москва, Красная пл., д. 3",771045001,"от 09.06.2018 №2296",13.06.2018
61,1,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Казань, пр. Победы, д. 141",166045001,"от 09.06.2018 №2296",13.06.2018
61,2,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Казань, пр. Победы, д. 141",166045003,"от 09.06.2018 №2296",13.06.2018
61,3,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Волгоград, ул. им. Землячки, д. 110Б",344345001,"от 09.06.2018 №2296",13.06.2018
61,4,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",346045003,"от 09.06.2018 №2296",13.06.2018
61,5,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Ростов-на-Дону, пр. Михаила Нагибина, д. 32/2",616145001,"от 09.06.2018 №2296",13.06.2018
61,6,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Самара, Московское шоссе 24 км, д. 5",631345001,"от 09.06.2018 №2296",13.06.2018
61,7,"Общество с ограниченной ответственностью ""Манго Раша""","ООО ""МАНГО Раша""",7810092757,1077847140690,,"г. Самара, Московское шоссе 24 км, д. 5",631345002,"от 09.06.2018 №2296",13.06.2018
62,1,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"Республика Татарстан, г. Казань, ул. Спартаковская, д. 6",165545001,"от 13.07.2018 №2753",
62,2,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"Самарская область, г. Самара, Московское шоссе, д. 81Б",631945001,"от 13.07.2018 №2753",
62,3,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 23.07.2018 №2885",
62,4,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"г. Москва, Красная пл., д. 3",772545007,"от 06.04.2018 №1307",09.04.2018
62,5,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"г. Москва, Смоленская пл., д. 3",772545014,"от 06.04.2018 №1307",09.04.2018
62,6,"Общество с ограниченной ответственностью ""Арена""","ООО ""Арена""",9717001974,1157746876572,,"г. Москва, ул. Новый Арбат, д. 19",772545015,"от 06.04.2018 №1307",09.04.2018
